,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Season,Review Rating,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Frequency_of_Purchases
0,55,1,2,1,53,3,3.1,1,14,5,Fortnightly,3
1,19,1,23,1,64,3,3.1,1,2,1,Fortnightly,3
2,50,1,11,1,73,1,3.1,1,23,2,Weekly,6
3,21,1,14,2,90,1,3.5,1,49,4,Weekly,6
4,45,1,2,1,49,1,2.7,1,31,4,Annually,0
5,46,1,20,2,20,2,2.9,1,14,5,Weekly,6
6,63,1,16,1,85,0,3.2,1,49,1,Quarterly,5
7,27,1,18,1,34,3,3.2,1,19,2,Weekly,6
8,26,1,4,3,97,2,2.6,1,8,5,Annually,0
9,57,1,7,0,31,1,4.8,1,4,1,Quarterly,5
10,53,1,17,2,34,0,4.1,1,26,0,Bi-Weekly,1
11,30,1,18,1,68,3,4.9,1,10,0,Fortnightly,3
12,61,1,4,3,72,3,4.5,1,37,5,Fortnightly,3
13,65,1,5,1,51,1,4.7,1,31,4,Weekly,6
14,64,1,4,3,53,3,4.7,1,34,3,Weekly,6
15,64,1,19,1,81,3,2.8,1,8,4,Monthly,4
16,25,1,22,0,36,1,4.1,1,44,3,Bi-Weekly,1
17,53,1,5,1,38,3,4.7,1,36,5,Quarterly,5
18,52,1,23,1,48,2,4.6,1,17,1,Weekly,6
19,66,1,13,1,90,2,3.3,1,46,3,Bi-Weekly,1
20,21,1,13,1,51,3,2.8,1,50,1,Every 3 Months,2
21,31,1,13,1,62,3,4.1,1,22,3,Quarterly,5
22,56,1,13,1,37,2,3.2,1,32,3,Annually,0
23,31,1,13,1,88,3,4.4,1,40,2,Weekly,6
24,18,1,10,3,22,0,2.9,1,16,3,Weekly,6
25,18,1,9,1,25,2,3.6,1,14,4,Annually,0
26,38,1,12,0,20,1,3.6,1,13,2,Annually,0
27,56,1,18,1,56,2,5.0,1,7,0,Every 3 Months,2
28,54,1,7,0,94,0,4.4,1,41,4,Every 3 Months,2
29,31,1,5,1,48,0,4.1,1,14,2,Weekly,6
30,57,1,12,0,31,3,4.7,1,16,2,Monthly,4
31,33,1,5,1,79,3,4.7,1,45,5,Monthly,4
32,36,1,10,3,67,2,4.9,1,37,5,Annually,0
33,54,1,13,1,38,2,3.3,1,45,1,Quarterly,5
34,36,1,24,1,91,1,4.6,1,38,4,Quarterly,5
35,54,1,2,1,33,2,4.0,1,48,2,Bi-Weekly,1
36,35,1,24,1,69,3,4.6,1,44,4,Fortnightly,3
37,35,1,11,1,45,2,2.8,1,10,4,Weekly,6
38,29,1,5,1,37,3,3.7,1,44,5,Every 3 Months,2
39,70,1,13,1,60,2,4.2,1,18,2,Monthly,4
40,69,1,7,0,76,3,4.6,1,31,3,Quarterly,5
41,67,1,15,0,39,1,4.5,1,40,5,Annually,0
42,20,1,4,3,100,1,4.1,1,15,4,Annually,0
43,25,1,15,0,69,0,3.7,1,19,4,Fortnightly,3
44,39,1,8,0,53,2,4.6,1,45,4,Weekly,6
45,50,1,21,1,21,0,2.9,1,25,4,Annually,0
46,57,1,16,1,43,2,2.9,1,45,1,Quarterly,5
47,55,1,12,0,54,3,4.5,1,36,1,Weekly,6
48,42,1,16,1,55,2,2.7,1,38,1,Monthly,4
49,68,1,9,1,30,1,4.6,1,34,3,Bi-Weekly,1
50,49,1,2,1,28,1,3.7,1,39,3,Bi-Weekly,1
51,59,1,19,1,59,3,4.7,1,7,2,Quarterly,5
52,42,1,24,1,20,2,2.6,1,26,2,Weekly,6
53,29,1,19,1,24,3,3.9,1,35,2,Weekly,6
54,47,1,4,3,94,2,4.2,1,35,3,Bi-Weekly,1
55,40,1,10,3,28,3,3.0,1,49,2,Annually,0
56,41,1,0,0,73,2,4.7,1,46,2,Weekly,6
57,21,1,4,3,64,2,4.4,1,17,3,Fortnightly,3
58,69,1,9,1,54,2,4.2,1,29,5,Monthly,4
59,63,1,1,0,79,1,4.6,1,4,3,Weekly,6
60,50,1,23,1,37,2,4.0,1,17,1,Weekly,6
61,55,1,15,0,68,3,4.7,1,21,2,Every 3 Months,2
62,30,1,20,2,21,1,3.8,1,31,2,Fortnightly,3
63,33,1,22,0,79,3,2.7,1,43,2,Weekly,6
64,65,1,3,2,83,0,4.8,1,18,3,Fortnightly,3
65,65,1,0,0,36,1,4.8,1,44,5,Every 3 Months,2
66,31,1,2,1,94,3,4.7,1,3,5,Every 3 Months,2
67,45,1,4,3,33,3,4.4,1,49,3,Monthly,4
68,57,1,7,0,46,2,3.9,1,21,1,Every 3 Months,2
69,48,1,1,0,70,2,4.4,1,5,1,Weekly,6
70,22,1,1,0,29,0,4.2,1,32,3,Every 3 Months,2
71,36,1,5,1,48,2,2.9,1,34,0,Annually,0
72,18,1,5,1,26,3,2.9,1,21,0,Every 3 Months,2
73,48,1,13,1,85,1,2.7,1,43,0,Bi-Weekly,1
74,49,1,6,0,58,1,4.5,1,3,1,Monthly,4
75,64,1,15,0,85,2,2.7,1,21,2,Annually,0
76,50,1,8,0,43,2,4.2,1,32,5,Monthly,4
77,22,1,5,1,53,2,3.3,1,36,3,Fortnightly,3
78,50,1,19,1,91,1,4.7,1,50,5,Fortnightly,3
79,38,1,10,3,96,3,2.6,1,43,0,Every 3 Months,2
80,19,1,14,2,72,2,3.3,1,24,2,Every 3 Months,2
81,67,1,17,2,96,2,2.6,1,36,2,Every 3 Months,2
82,19,1,13,1,28,1,4.0,1,21,2,Every 3 Months,2
83,36,1,5,1,40,2,4.1,1,34,0,Weekly,6
84,52,1,4,3,32,1,4.4,1,42,0,Every 3 Months,2
85,53,1,22,0,95,3,4.5,1,2,3,Bi-Weekly,1
86,24,1,9,1,41,1,3.7,1,47,1,Bi-Weekly,1
87,52,1,17,2,53,0,3.7,1,44,3,Fortnightly,3
88,33,1,24,1,47,0,3.5,1,35,2,Monthly,4
89,47,1,10,3,83,0,3.6,1,15,1,Quarterly,5
90,25,1,8,0,48,2,2.9,1,29,2,Monthly,4
91,44,1,15,0,99,3,4.6,1,18,2,Every 3 Months,2
92,61,1,10,3,87,3,4.4,1,13,5,Every 3 Months,2
93,37,1,23,1,62,0,4.5,1,46,2,Weekly,6
94,58,1,19,1,76,1,4.6,1,28,2,Weekly,6
95,37,1,20,2,100,0,3.8,1,48,4,Monthly,4
96,32,1,6,0,73,1,3.6,1,43,5,Every 3 Months,2
97,21,1,17,2,92,3,4.8,1,37,1,Annually,0
98,20,1,11,1,67,1,2.6,1,20,0,Annually,0
99,26,1,9,1,40,2,3.7,1,33,3,Quarterly,5
100,62,1,22,0,98,0,2.7,1,31,1,Fortnightly,3
101,27,1,4,3,85,1,4.6,1,50,2,Bi-Weekly,1
102,51,1,21,1,67,3,4.8,1,35,2,Quarterly,5
103,54,1,3,2,89,3,4.0,1,22,5,Bi-Weekly,1
104,55,1,22,0,24,1,4.4,1,1,4,Monthly,4
105,69,1,0,0,96,0,3.6,1,4,0,Annually,0
106,64,1,10,3,35,2,3.7,1,31,2,Monthly,4
107,28,1,20,2,67,3,3.1,1,46,4,Fortnightly,3
108,70,1,21,1,79,1,3.4,1,32,0,Bi-Weekly,1
109,58,1,24,1,85,1,2.6,1,43,0,Fortnightly,3
110,56,1,0,0,26,2,4.0,1,26,5,Fortnightly,3
111,26,1,1,0,75,2,5.0,1,9,2,Annually,0
112,37,1,6,0,65,1,4.3,1,28,4,Bi-Weekly,1
113,44,1,8,0,54,3,3.1,1,20,4,Quarterly,5
114,70,1,4,3,95,2,3.7,1,9,1,Weekly,6
115,53,1,19,1,94,1,3.8,1,48,3,Every 3 Months,2
116,55,1,17,2,86,1,3.4,1,12,5,Annually,0
117,50,1,14,2,32,2,4.6,1,29,1,Fortnightly,3
118,50,1,23,1,45,0,4.8,1,27,1,Bi-Weekly,1
119,38,1,4,3,76,0,4.3,1,44,1,Annually,0
120,64,1,8,0,84,2,4.0,1,32,0,Annually,0
121,19,1,18,1,72,3,4.2,1,11,1,Fortnightly,3
122,40,1,0,0,40,1,4.8,1,44,1,Fortnightly,3
